CaseID,Opened,Closed,Updated,Status,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
4625805,04/01/2015 12:52:51 AM,,04/01/2015 12:53:34 AM,Open,311 HA SR Queue,SFHA Requests,SFHA Priority - Urgent,Plumbers,"1509 BRODERICK ST, Apt 242, SAN FRANCISCO, CA, 94115",5,Western Addition,"(37.784466311323, -122.442265584692)",Voice In,
4625803,04/01/2015 12:51:52 AM,,04/01/2015 12:51:52 AM,Open,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - PickupTruck,white - Ford - F-250 - 8X76090,"355 PRECITA AVE, SAN FRANCISCO, CA, 94110",9,Bernal Heights,"(37.747329911831, -122.412349294631)",Web Self Service,
4625802,04/01/2015 12:41:43 AM,,04/01/2015 12:41:43 AM,Open,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Other,,Intersection of 45TH AVE and QUINTARA ST,4,Outer Sunset,"(37.7474147989817, -122.503941658622)",Web Self Service,
4625801,04/01/2015 12:31:45 AM,,04/01/2015 12:38:15 AM,Open,311 HA SR Queue,SFHA Requests,SFHA Priority - Urgent,Plumbers,"2492 POST ST, Apt 320, SAN FRANCISCO, CA, 94115",5,Western Addition,"(37.783969899015, -122.442856449107)",Voice In,
4625793,03/31/2015 11:57:16 PM,,03/31/2015 11:57:16 PM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"359 7TH AVE, SAN FRANCISCO, CA, 94118",1,Inner Richmond,"(37.781750084183, -122.465548361517)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/551b96c4df861c2f469d4202/149712.jpg
4625776,03/31/2015 11:22:12 PM,,03/31/2015 11:22:12 PM,Open,Recology_Litter,Litter Receptacles,Other_including_abandoned_toter,N/A,"2062 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.763979652091, -122.419725048599)",Integrated Agency,
4625765,03/31/2015 11:14:00 PM,,04/01/2015 01:22:52 AM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"699 WEBSTER ST, SAN FRANCISCO, CA, 94117",5,Western Addition,"(37.776828763298, -122.429850328292)",Open311,
4625762,03/31/2015 11:11:11 PM,,03/31/2015 11:12:12 PM,Open,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - SUV,BLACK - BMW - SUV - xxxxxxx,Intersection of LAGUNA ST and WASHINGTON ST,2,Pacific Heights,"(37.7922168548814, -122.42944734747)",Voice In,
4625743,03/31/2015 10:49:11 PM,,03/31/2015 10:51:38 PM,Open,DPT SignShop 07 Queue,Sign Repair,Sign - Bent,Street_Name - Bent; support - Leaning,Intersection of 14TH AVE and NORIEGA ST,7,Inner Sunset,"(37.7550989592316, -122.471167648526)",Voice In,
4625723,03/31/2015 10:34:53 PM,,03/31/2015 10:36:43 PM,Open,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car2door,black  - Fiat - unknown  - 7EJX432,"763 5TH AVE, SAN FRANCISCO, CA, 94118",1,Inner Richmond,"(37.774426591982, -122.462908926875)",Voice In,
4625722,03/31/2015 10:34:47 PM,,03/31/2015 10:37:05 PM,Open,DBI Housing Inspection Queue,Residential Building Request,Building - Heat_Lack_of_Heat,Heat_Lack_of_Heat,"589 POST ST, SAN FRANCISCO, CA, 94102",3,Downtown/Civic Center,"(37.787754143758, -122.4114040504)",Voice In,
4625712,03/31/2015 10:27:03 PM,,03/31/2015 10:27:03 PM,Open,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Bridge - Not_Offensive,Intersection of MARKET ST and ROMAIN ST,8,Noe Valley,"(37.7562185721643, -122.4409989004)",Web Self Service,
4625711,03/31/2015 10:22:50 PM,,03/31/2015 10:25:55 PM,Open,311 HA SR Queue,SFHA Requests,SFHA Priority - Emergency,Carpenters,"462 DUBOCE, , SAN FRANCISCO, CA, 94117",8,Western Addition,"(37.769461169, -122.4308868)",Voice In,
4625709,03/31/2015 10:22:43 PM,,03/31/2015 10:24:04 PM,Open,DBI Housing Inspection Queue,Residential Building Request,Building - Heat_Lack_of_Heat,Heat_Lack_of_Heat,"589 POST ST, SAN FRANCISCO, CA, 94102",3,Downtown/Civic Center,"(37.787754143758, -122.4114040504)",Voice In,
